date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:49	9339/9339	---M--	200	added ('OK')	text/html	etag:%22619d0af5-247b%22	http://fortnitestore.xyz/assets/img/counts-img.html	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/img/counts-img.html	(from http://fortnitestore.xyz/assets/css/style.css)
22:25:44	898664/898664	---M--	200	added ('OK')	image/png	etag:%22619c16f1-db668%22	http://fortnitestore.xyz/10.png	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/10.png	(from http://fortnitestore.xyz/)
22:25:45	775727/775727	---M--	200	added ('OK')	image/png	etag:%22619c16f1-bd62f%22	http://fortnitestore.xyz/promo.png	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/promo.png	(from http://fortnitestore.xyz/)
22:25:51	35445/35445	---M--	200	added ('OK')	application/javascript	etag:%22619c16f1-8a75%22	http://fortnitestore.xyz/assets/vendor/isotope-layout/isotope.pkgd.min.js	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/vendor/isotope-layout/isotope.pkgd.min.js	(from http://fortnitestore.xyz/)
22:26:02	453336/453336	---M--	200	added ('OK')	image/jpeg	etag:%22619c16f1-6ead8%22	http://fortnitestore.xyz/assets/img/testimonials-bg.jpg	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/img/testimonials-bg.jpg	(from http://fortnitestore.xyz/assets/css/style.css)
22:26:08	102988/102988	---M--	200	added ('OK')	font/woff2	etag:%22619c16f1-1924c%22	http://fortnitestore.xyz/assets/vendor/boxicons/fonts/boxicons.woff2	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/vendor/boxicons/fonts/boxicons.woff2	(from http://fortnitestore.xyz/assets/vendor/boxicons/css/boxicons.min.css)
22:26:32	292572/292572	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22619c16f1-476dc%22	http://fortnitestore.xyz/assets/vendor/boxicons/fonts/boxicons.eot	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/vendor/boxicons/fonts/boxicons.eot	(from http://fortnitestore.xyz/assets/vendor/boxicons/css/boxicons.min.css)
22:26:38	1125137/1125137	---M--	200	added ('OK')	image/svg+xml	etag:%22619c16f1-112b11%22	http://fortnitestore.xyz/assets/vendor/boxicons/fonts/boxiconsd41d.svg?	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/vendor/boxicons/fonts/boxiconsd41dd41d.svg	(from http://fortnitestore.xyz/assets/vendor/boxicons/css/boxicons.min.css)
22:26:54	292480/292480	---M--	200	added ('OK')	font/woff	etag:%22619c16f1-47680%22	http://fortnitestore.xyz/assets/vendor/boxicons/fonts/boxicons.woff	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/vendor/boxicons/fonts/boxicons.woff	(from http://fortnitestore.xyz/assets/vendor/boxicons/css/boxicons.min.css)
22:27:00	292404/292404	---M--	200	added ('OK')	font/ttf	etag:%22619c16f1-47634%22	http://fortnitestore.xyz/assets/vendor/boxicons/fonts/boxicons.ttf	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/vendor/boxicons/fonts/boxicons.ttf	(from http://fortnitestore.xyz/assets/vendor/boxicons/css/boxicons.min.css)
22:27:14	125268/125268	---M--	200	added ('OK')	font/woff2	etag:%22619c16f1-1e954%22	http://fortnitestore.xyz/assets/vendor/remixicon/remixicondf6d.woff2?t=1590207869815	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/vendor/remixicon/remixicondf6ddf6d.woff2	(from http://fortnitestore.xyz/assets/vendor/remixicon/remixicon.css)
22:27:28	172876/172876	---M--	200	added ('OK')	font/woff	etag:%22619c16f1-2a34c%22	http://fortnitestore.xyz/assets/vendor/remixicon/remixicondf6d.woff?t=1590207869815	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/vendor/remixicon/remixicondf6ddf6d.woff	(from http://fortnitestore.xyz/assets/vendor/remixicon/remixicon.css)
22:27:33	1195522/1195522	---M--	200	added ('OK')	image/svg+xml	etag:%22619c16f1-123e02%22	http://fortnitestore.xyz/assets/vendor/remixicon/remixicondf6d.svg?t=1590207869815	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/vendor/remixicon/remixicondf6ddf6d.svg	(from http://fortnitestore.xyz/assets/vendor/remixicon/remixicon.css)
22:27:44	403228/403228	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22619c16f1-6271c%22	http://fortnitestore.xyz/assets/vendor/remixicon/remixicondf6d.eot?t=1590207869815	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/vendor/remixicon/remixicondf6ddf6d.eot	(from http://fortnitestore.xyz/assets/vendor/remixicon/remixicon.css)
22:28:02	403056/403056	---M--	200	added ('OK')	font/ttf	etag:%22619c16f1-62670%22	http://fortnitestore.xyz/assets/vendor/remixicon/remixicondf6d.ttf?t=1590207869815	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/vendor/remixicon/remixicondf6ddf6d.ttf	(from http://fortnitestore.xyz/assets/vendor/remixicon/remixicon.css)
22:29:22	3326883/3326883	---M--	200	added ('OK')	image/jpeg	etag:%22619c16f1-32c3a3%22	http://fortnitestore.xyz/assets/img/hero-bg.jpg	C:/My%20Web%20Sites/fortnitestore/fortnitestore.xyz/assets/img/hero-bg.jpg	(from http://fortnitestore.xyz/assets/css/style.css)
